frq	rbz	max
200.00	-	-
206.00	56.344	66.924
212.00	54.367	66.758
218.00	57.064	66.586
224.00	55.610	66.419
230.00	58.393	66.255
236.00	55.953	66.096
243.00	52.263	65.916
250.00	52.271	65.741
258.00	51.745	65.546
265.00	54.187	65.546
272.00	53.240	63.858
280.00	55.984	62.504
290.00	55.502	62.504
300.00	53.786	62.504
307.00	52.998	62.504
315.00	54.562	62.504
325.00	54.318	62.504
335.00	56.070	62.504
345.00	53.491	62.504
355.00	53.796	62.504
365.00	53.261	62.411
375.00	53.449	62.046
387.00	52.429	61.186
400.00	54.245	61.186
412.00	55.382	61.186
425.00	54.218	61.186
437.00	54.593	61.186
450.00	54.331	61.186
462.00	52.216	61.186
475.00	53.935	61.186
487.00	52.373	61.186
500.00	52.400	61.186
515.00	52.170	61.186
530.00	51.968	59.764
545.00	52.962	59.764
560.00	53.849	59.764
580.00	51.411	59.764
600.00	52.370	59.764
615.00	50.564	59.764
630.00	57.717	59.764
650.00	52.034	59.764
670.00	53.055	59.764
690.00	51.723	59.388
710.00	53.462	59.135
730.00	50.950	59.135
750.00	51.717	59.135
775.00	52.026	59.135
800.00	50.231	59.135
825.00	51.642	57.943
850.00	54.359	57.943
875.00	50.219	57.697
900.00	47.284	57.697
925.00	48.363	57.697
950.00	49.531	57.248
975.00	42.854	56.499
1000.0	46.269	56.499
1030.0	46.394	56.499
1060.0	47.083	55.252
1090.0	45.060	55.252
1120.0	45.176	55.252
1150.0	45.943	55.252
1180.0	45.721	55.252
1220.0	47.745	55.252
1250.0	48.865	55.252
1280.0	48.290	55.252
1320.0	44.755	55.252
1360.0	48.237	55.252
1400.0	44.159	55.252
1450.0	45.148	55.252
1500.0	41.892	55.252
1550.0	49.023	55.252
1600.0	42.193	55.252
1650.0	42.094	53.623
1700.0	45.097	53.623
1750.0	44.099	53.623
1800.0	43.322	53.623
1850.0	46.035	53.623
1900.0	43.276	53.623
1950.0	46.810	53.623
2000.0	43.573	53.623
2060.0	45.355	53.623
2120.0	42.337	53.623
2180.0	44.338	53.623
2240.0	45.074	53.623
2300.0	44.174	53.623
2360.0	44.561	53.623
2430.0	41.690	53.623
2500.0	43.862	53.623
2580.0	41.288	53.465
2650.0	45.053	53.465
2720.0	44.991	53.465
2800.0	42.515	53.465
2900.0	44.227	52.889
3000.0	42.731	52.889
3070.0	42.096	52.889
3150.0	43.185	52.889
3250.0	43.866	52.889
3350.0	41.328	52.889
3450.0	47.409	52.889
3550.0	43.416	52.300
3650.0	42.388	52.283
3750.0	46.210	52.283
3870.0	43.640	52.283
4000.0	45.745	52.283
4120.0	43.336	52.283
4250.0	44.454	52.283
4370.0	42.847	52.283
4500.0	39.092	52.535
4620.0	41.137	52.535
4750.0	42.013	52.535
4870.0	38.691	52.535
5000.0	45.072	52.535
5150.0	41.837	52.535
5300.0	44.883	52.535
5450.0	40.826	52.535
5600.0	41.788	52.535
5800.0	40.437	52.535
6000.0	42.408	52.535
6150.0	41.631	52.535
6300.0	41.226	52.535
6500.0	45.117	52.535
6700.0	40.675	52.535
6900.0	41.522	52.535
7100.0	40.940	52.177
7300.0	42.498	51.358
7500.0	34.370	50.856
7750.0	-	-
8000.0	-	-
8250.0	-	-
8500.0	-	-
8750.0	-	-
9000.0	-	-
9250.0	-	-
9500.0	-	-
9750.0	-	-
10000	-	-
10300	-	-
10600	-	-
10900	-	-
11200	-	-
11500	-	-
11800	-	-
12200	-	-
12500	-	-
12800	-	-
13200	-	-
13600	-	-
14000	-	-
14500	-	-
15000	-	-
15500	-	-
16000	-	-
16500	-	-
17000	-	-
17500	-	-
18000	-	-
18500	-	-
19000	-	-
19500	-	-
20000	-	-
