frq	thd	max
200.00	-	-
206.00	-	-
212.00	-	-
218.00	-	-
224.00	-	-
230.00	50.748	64.337
236.00	48.942	64.337
243.00	51.419	64.337
250.00	50.453	64.337
258.00	48.653	64.337
265.00	48.050	64.337
272.00	47.682	64.337
280.00	48.463	64.337
290.00	47.457	64.337
300.00	45.837	64.337
307.00	45.267	64.337
315.00	45.026	64.337
325.00	46.750	64.337
335.00	46.836	64.337
345.00	46.238	64.337
355.00	45.704	64.337
365.00	43.772	64.337
375.00	43.085	64.337
387.00	44.629	64.337
400.00	45.710	64.337
412.00	44.977	64.337
425.00	44.432	64.337
437.00	43.685	64.337
450.00	44.252	64.337
462.00	42.259	64.337
475.00	38.733	64.337
487.00	39.947	64.337
500.00	43.109	64.337
515.00	42.200	64.337
530.00	43.503	64.337
545.00	43.992	64.337
560.00	40.817	64.337
580.00	40.345	64.337
600.00	43.380	64.337
615.00	45.243	64.337
630.00	46.002	64.337
650.00	44.547	64.337
670.00	41.581	64.337
690.00	42.815	64.337
710.00	45.456	64.337
730.00	46.493	64.337
750.00	44.778	64.337
775.00	41.692	64.337
800.00	39.563	64.337
825.00	37.243	64.337
850.00	37.526	64.337
875.00	37.124	64.337
900.00	38.670	64.337
925.00	39.129	64.337
950.00	45.574	64.337
975.00	41.976	64.337
1000.0	39.605	64.337
1030.0	39.484	64.337
1060.0	36.807	64.337
1090.0	39.345	64.337
1120.0	37.924	64.337
1150.0	37.041	64.337
1180.0	39.798	64.337
1220.0	38.205	64.337
1250.0	42.882	64.337
1280.0	48.333	64.337
1320.0	42.630	64.337
1360.0	38.358	64.337
1400.0	37.922	64.337
1450.0	39.317	64.337
1500.0	41.589	64.337
1550.0	44.578	64.337
1600.0	42.786	64.337
1650.0	40.816	64.337
1700.0	37.776	64.337
1750.0	40.354	64.337
1800.0	39.389	64.337
1850.0	40.126	64.337
1900.0	43.912	64.337
1950.0	41.027	64.337
2000.0	36.348	64.337
2060.0	39.628	64.337
2120.0	33.584	64.337
2180.0	35.725	64.337
2240.0	36.750	64.337
2300.0	36.930	64.337
2360.0	37.511	64.337
2430.0	37.210	64.337
2500.0	37.381	64.337
2580.0	37.684	64.337
2650.0	39.087	64.337
2720.0	36.566	64.337
2800.0	39.058	64.337
2900.0	39.282	64.337
3000.0	41.094	64.337
3070.0	38.590	64.337
3150.0	38.852	64.337
3250.0	38.604	64.337
3350.0	35.451	64.337
3450.0	35.354	64.337
3550.0	40.621	64.337
3650.0	38.128	64.337
3750.0	39.734	64.337
3870.0	40.928	64.337
4000.0	41.787	64.337
4120.0	40.275	64.337
4250.0	34.597	64.337
4370.0	35.616	64.337
4500.0	36.312	64.337
4620.0	37.002	64.337
4750.0	36.526	64.337
4870.0	38.334	64.337
5000.0	35.156	64.337
5150.0	32.986	64.337
5300.0	35.509	64.337
5450.0	31.909	64.337
5600.0	34.063	64.337
5800.0	34.135	64.337
6000.0	33.626	64.337
6150.0	31.769	64.337
6300.0	32.731	64.337
6500.0	33.677	64.337
6700.0	34.751	64.337
6900.0	35.189	64.337
7100.0	30.452	64.337
7300.0	31.346	64.337
7500.0	35.249	64.337
7750.0	35.858	64.337
8000.0	30.915	64.337
8250.0	36.644	64.337
8500.0	30.457	64.337
8750.0	32.157	64.337
9000.0	35.582	64.337
9250.0	36.765	64.337
9500.0	34.128	64.337
9750.0	31.391	64.337
10000	-	-
10300	-	-
10600	-	-
10900	-	-
11200	-	-
11500	-	-
11800	-	-
12200	-	-
12500	-	-
12800	-	-
13200	-	-
13600	-	-
14000	-	-
14500	-	-
15000	-	-
15500	-	-
16000	-	-
16500	-	-
17000	-	-
17500	-	-
18000	-	-
18500	-	-
19000	-	-
19500	-	-
20000	-	-
