frq	resp	max	min
200.00	91.346	97.060	83.701
206.00	91.398	96.938	83.541
212.00	91.387	96.819	83.478
218.00	91.268	96.703	83.395
224.00	91.105	96.591	83.262
230.00	90.919	96.481	83.129
236.00	90.726	96.117	82.990
243.00	90.555	96.003	82.812
250.00	90.422	95.846	82.678
258.00	90.276	95.767	82.563
265.00	90.145	95.690	82.489
272.00	90.050	95.545	82.416
280.00	89.985	95.482	82.331
290.00	89.945	95.366	82.304
300.00	90.055	95.199	82.304
307.00	90.112	95.079	82.304
315.00	90.126	94.935	82.286
325.00	90.094	94.757	82.161
335.00	90.014	94.623	82.041
345.00	89.940	94.527	82.024
355.00	89.855	94.455	82.024
365.00	89.764	94.373	82.024
375.00	89.640	94.343	82.024
387.00	89.527	94.343	82.024
400.00	89.545	94.340	82.024
412.00	89.535	94.310	82.024
425.00	89.527	94.212	82.024
437.00	89.450	94.199	82.024
450.00	89.369	94.208	82.029
462.00	89.350	94.220	82.053
475.00	89.303	94.290	82.136
487.00	89.304	94.403	82.164
500.00	89.351	94.513	82.164
515.00	89.427	94.649	82.164
530.00	89.537	94.805	82.164
545.00	89.682	94.993	82.164
560.00	89.863	95.212	82.180
580.00	90.039	95.558	82.200
600.00	90.224	95.905	82.210
615.00	90.329	96.073	82.235
630.00	90.434	96.199	82.303
650.00	90.611	96.330	82.441
670.00	90.825	96.393	82.570
690.00	91.065	96.458	82.712
710.00	91.256	96.597	82.886
730.00	91.405	96.782	83.093
750.00	91.521	97.006	83.323
775.00	91.641	97.341	83.664
800.00	91.862	97.691	83.961
825.00	92.165	98.035	84.151
850.00	92.504	98.339	84.285
875.00	92.886	98.680	84.370
900.00	93.251	99.074	84.426
925.00	93.562	99.506	84.509
950.00	93.910	99.934	84.667
975.00	94.261	100.40	84.853
1000.0	94.651	100.86	85.082
1030.0	95.191	101.38	85.396
1060.0	95.747	101.92	85.712
1090.0	96.215	102.45	86.025
1120.0	96.707	103.03	86.299
1150.0	97.171	103.68	86.595
1180.0	97.620	104.38	86.946
1220.0	98.337	105.47	87.463
1250.0	98.839	106.26	87.848
1280.0	99.386	107.10	88.271
1320.0	100.24	108.18	88.826
1360.0	101.02	109.08	89.351
1400.0	101.92	109.75	89.896
1450.0	102.90	110.07	90.566
1500.0	103.80	110.10	91.339
1550.0	104.29	110.10	92.194
1600.0	104.46	110.10	93.190
1650.0	104.42	110.10	94.200
1700.0	104.13	110.10	95.261
1750.0	103.69	110.10	95.275
1800.0	103.21	110.10	94.367
1850.0	102.80	110.10	93.289
1900.0	102.45	110.10	92.058
1950.0	102.06	110.10	90.796
2000.0	101.51	109.84	89.576
2060.0	100.59	109.39	88.044
2120.0	99.415	108.99	86.684
2180.0	98.029	108.57	85.544
2240.0	96.689	108.07	84.497
2300.0	95.416	107.47	84.055
2360.0	94.026	106.67	84.026
2430.0	92.520	105.58	84.026
2500.0	91.167	104.30	84.026
2580.0	89.763	102.78	84.026
2650.0	89.273	101.48	84.026
2720.0	89.369	100.12	84.026
2800.0	89.905	98.739	84.026
2900.0	91.317	98.409	84.026
3000.0	92.485	98.409	84.026
3070.0	93.120	98.409	84.030
3150.0	93.600	98.409	84.088
3250.0	93.742	98.409	84.406
3350.0	93.643	98.409	84.936
3450.0	93.440	98.409	85.325
3550.0	93.158	98.409	85.224
3650.0	92.935	98.409	84.737
3750.0	92.851	98.403	84.187
3870.0	92.918	98.318	83.598
4000.0	92.990	98.001	83.261
4120.0	92.729	97.692	83.232
4250.0	92.169	97.574	83.232
4370.0	91.547	97.574	83.232
4500.0	90.690	97.543	83.232
4620.0	90.009	97.425	83.232
4750.0	89.687	97.059	83.232
4870.0	89.613	97.139	83.232
5000.0	89.712	97.288	83.232
5150.0	90.111	97.337	83.232
5300.0	90.463	97.337	83.232
5450.0	90.865	97.337	83.247
5600.0	91.264	97.337	83.352
5800.0	91.805	97.337	83.627
6000.0	91.793	97.337	83.785
6150.0	91.265	97.337	83.785
6300.0	90.761	97.337	83.785
6500.0	90.336	97.337	83.785
6700.0	90.109	97.259	83.624
6900.0	90.093	96.747	82.717
7100.0	90.161	96.551	81.985
7300.0	90.259	96.551	81.744
7500.0	90.013	96.551	81.744
7750.0	89.337	97.680	81.744
8000.0	88.601	98.366	81.744
8250.0	87.988	98.412	81.744
8500.0	89.244	98.412	81.233
8750.0	90.829	98.412	79.139
9000.0	92.024	98.412	78.558
9250.0	91.900	98.412	78.558
9500.0	89.412	98.412	78.558
9750.0	86.169	98.412	78.558
10000	84.430	98.412	78.558
10300	84.326	98.412	78.558
10600	85.991	98.412	78.558
10900	88.910	97.014	78.558
11200	91.011	97.014	75.419
11500	91.584	97.014	72.327
11800	91.296	97.014	70.598
12200	88.862	97.014	70.450
12500	85.345	97.014	70.450
12800	81.999	97.014	70.450
13200	79.129	97.014	70.450
13600	78.056	96.720	70.450
14000	78.719	95.028	70.179
14500	79.392	90.436	68.004
15000	79.513	85.895	67.043
15500	78.530	85.517	67.011
16000	77.277	85.517	66.355
16500	75.213	85.517	65.007
17000	73.068	85.517	62.891
17500	72.007	85.193	59.783
18000	71.356	84.109	58.756
18500	70.109	82.234	57.757
19000	69.270	80.448	56.785
19500	66.947	79.199	55.838
20000	67.891	79.030	55.745
