frq	imp	max	min
18.750	1.7263	3.4030	3.0445
23.438	4.5925	3.4223	3.0645
28.125	3.1249	3.4649	3.0831
32.813	3.3693	3.5032	3.0943
37.500	2.5603	3.5413	3.1185
42.188	2.7006	3.5847	3.1439
46.875	2.9856	3.6382	3.1677
51.563	3.9256	3.7036	3.1910
56.250	2.7927	3.7803	3.2157
60.938	3.0336	3.8700	3.2445
65.625	3.8263	3.9775	3.2782
70.313	3.5732	4.0995	3.3161
75.000	3.3481	4.2457	3.3584
79.688	3.3347	4.4245	3.4054
84.375	3.5172	4.6433	3.4572
89.063	4.2317	4.9052	3.5182
93.750	4.3778	5.2260	3.5875
98.438	4.8875	5.6393	3.6629
103.13	4.5816	6.1459	3.7451
107.81	4.0458	6.7626	3.8371
112.50	3.4317	7.4906	3.9429
117.19	3.7838	8.2671	4.0670
121.88	4.4074	8.9844	4.2131
126.56	4.2940	9.3834	4.3767
131.25	4.2098	9.4921	4.5629
135.94	5.0536	9.5275	4.7793
140.63	4.5800	9.5275	5.0293
145.31	4.4041	9.5275	5.3293
150.00	5.3797	9.5275	5.6742
159.38	5.8624	9.5275	5.5859
164.06	5.2744	9.5275	5.2403
168.75	5.5994	9.5275	4.9358
173.44	5.6602	9.5275	4.7315
182.81	4.1223	9.5275	4.4289
187.50	4.1615	9.5275	4.2940
192.19	4.8545	9.4759	4.1660
201.56	4.6306	8.7932	3.9415
206.25	4.3133	8.3223	3.8533
215.63	4.4241	7.3692	3.7149
225.00	4.5470	6.4996	3.6148
229.69	4.5019	6.1605	3.5759
239.06	4.2174	5.6438	3.5078
248.44	4.1385	5.2642	3.4498
257.81	4.0847	5.0205	3.4119
267.19	3.8181	4.8076	3.3822
276.56	3.9068	4.6083	3.3573
285.94	3.8722	4.4241	3.3405
295.31	3.9166	4.2831	3.3276
304.69	3.9594	4.1683	3.3169
314.06	4.0726	4.0744	3.3108
328.13	4.0178	3.9689	3.3038
337.50	3.8142	3.9139	3.2964
351.56	3.7024	3.8390	3.2857
365.63	3.6890	3.7860	3.2854
375.00	3.6529	3.7612	3.2854
389.06	3.6856	3.7285	3.2854
403.13	3.6829	3.7027	3.2854
417.19	3.6427	3.6861	3.2854
431.25	3.6321	3.6726	3.2854
450.00	3.6308	3.6600	3.2854
464.06	3.6348	3.6556	3.2854
482.81	3.6314	3.6586	3.2854
496.88	3.6180	3.6675	3.2854
515.63	3.5895	3.6758	3.2854
534.38	3.5830	3.6865	3.2890
553.13	3.5557	3.7024	3.2891
571.88	3.5380	3.7110	3.2891
595.31	3.5717	3.7226	3.2891
614.06	3.5892	3.7393	3.2895
637.50	3.5957	3.7605	3.2919
660.94	3.6098	3.7736	3.2973
684.38	3.6184	3.7871	3.3057
707.81	3.6404	3.8052	3.3153
731.25	3.6615	3.8248	3.3224
759.38	3.6741	3.8493	3.3311
782.81	3.6834	3.8688	3.3430
810.94	3.7023	3.8988	3.3541
839.06	3.7251	3.9239	3.3614
871.88	3.7414	3.9490	3.3760
900.00	3.7498	3.9765	3.3929
932.81	3.7720	4.0106	3.4080
965.63	3.7989	4.0452	3.4183
1003.1	3.8326	4.0812	3.4347
1035.9	3.8542	4.1117	3.4514
1073.4	3.8797	4.1508	3.4725
1110.9	3.9079	4.1905	3.4909
1153.1	3.9414	4.2336	3.5184
1195.3	3.9756	4.2742	3.5434
1237.5	4.0131	4.3214	3.5628
1279.7	4.0510	4.3711	3.5876
1326.6	4.1014	4.4270	3.6175
1373.4	4.1417	4.4789	3.6489
1420.3	4.1703	4.5249	3.6782
1471.9	4.2170	4.5778	3.7083
1523.4	4.2759	4.6377	3.7408
1579.7	4.3162	4.7077	3.7781
1635.9	4.3603	4.7884	3.8153
1692.2	4.4230	4.8826	3.8485
1753.1	4.4870	5.0104	3.8892
1814.1	4.5385	5.1367	3.9334
1879.7	4.6025	5.1976	3.9828
1945.3	4.6781	5.1976	4.0306
2015.6	4.7771	5.1976	4.0756
2085.9	4.8962	5.1976	4.1193
2160.9	5.0126	5.1976	4.1718
2235.9	5.0254	5.1976	4.2278
2315.6	4.9681	5.2545	4.2949
2400.0	4.9254	5.2965	4.3760
2484.4	4.9533	5.3529	4.4782
2573.4	5.0238	5.4304	4.5713
2667.2	5.0891	5.5146	4.5713
2760.9	5.1622	5.6004	4.5713
2859.4	5.2013	5.6878	4.5713
2962.5	5.2467	5.7790	4.5768
3065.6	5.3172	5.8660	4.6250
3173.4	5.3935	5.9605	4.6785
3285.9	5.4855	6.0548	4.7343
3403.1	5.5644	6.1567	4.7741
3525.0	5.6408	6.2626	4.8191
3651.6	5.7378	6.3766	4.8834
3782.8	5.8286	6.4915	4.9562
3914.1	5.9138	6.6026	5.0320
4054.7	6.0201	6.7196	5.1108
4200.0	6.1284	6.9139	5.1928
4350.0	6.2352	7.0170	5.2725
4504.7	6.3425	7.1197	5.3577
4664.1	6.4454	7.2218	5.4420
4828.1	6.5634	7.3234	5.5310
5001.6	6.6844	7.3462	5.6249
